Second,CH1,CH2,CH3,
-0.022,-2,-11.4,12.6, 
-0.0219,-1.6,-11.6,12, 
-0.0218,-1.4,-11.4,11.6, 
-0.0217,-0.6,-11.6,11.2, 
-0.0216,-0.4,-11.6,11, 
-0.0215,0.8,-11.4,9.8, 
-0.0214,1,-11.6,9.6, 
-0.0213,1.8,-11.6,8.6, 
-0.0212,2,-11.6,8.6, 
-0.0211,3.2,-11.8,7.8, 
-0.021,3.4,-11.6,7.6, 
-0.0209,4.4,-11.6,6.6, 
-0.0208,4.8,-11.8,6.2, 
-0.0207,5.4,-11.8,6, 
-0.0206,5.8,-11.8,5.6, 
-0.0205,6.6,-11.6,5.2, 
-0.0204,6.6,-12,5.2, 
-0.0203,7.2,-11.8,4.6, 
-0.0202,7.2,-12,4.6, 
-0.0201,8,-12.2,4.4, 
-0.02,8,-12.2,4.4, 
-0.0199,8.2,-12.2,4, 
-0.0198,8,-12.4,4, 
-0.0197,8.4,-12,3.4, 
-0.0196,8.2,-12.2,3.6, 
-0.0195,8.6,-12.4,3.2, 
-0.0194,8.6,-12.2,3, 
-0.0193,9,-12,2.6, 
-0.0192,9,-11.8,2.4, 
-0.0191,9.4,-11.6,1.8, 
-0.019,9.8,-11.6,1.6, 
-0.0189,10.2,-11.4,0.4, 
-0.0188,10.6,-11.2,0.4, 
-0.0187,10.8,-11,-0.4, 
-0.0186,11,-11,-0.8, 
-0.0185,11.6,-10.8,-2, 
-0.0184,12,-10.8,-1.8, 
-0.0183,12.6,-10.4,-3, 
-0.0182,12.6,-10.2,-3.4, 
-0.0181,13.2,-10,-4.2, 
-0.018,13.6,-10.2,-4.6, 
-0.0179,14,-9.8,-5.4, 
-0.0178,14,-9.8,-5.4, 
-0.0177,14.6,-9.2,-6.4, 
-0.0176,14.4,-9.4,-6.8, 
-0.0175,15.4,-9.2,-7.4, 
-0.0174,15.2,-9,-7.8, 
-0.0173,15.8,-8.6,-8.8, 
-0.0172,15.6,-8.6,-8.8, 
-0.0171,16.2,-9,-9.6, 
-0.017,16.4,-8.8,-9.6, 
-0.0169,17,-8.6,-9.8, 
-0.0168,17,-8.6,-9.8, 
-0.0167,17.2,-8.8,-10.4, 
-0.0166,17.2,-8.8,-10.2, 
-0.0165,17.2,-8.6,-10.8, 
-0.0164,17.2,-8.6,-10.4, 
-0.0163,17.4,-8.4,-11.2, 
-0.0162,17.2,-8.4,-10.4, 
-0.0161,17,-8,-10.8, 
-0.016,16.8,-7.8,-11, 
-0.0159,16.4,-7,-10.8, 
-0.0158,16.2,-6.6,-11, 
-0.0157,15.4,-5.8,-11.6, 
-0.0156,15.2,-5.4,-11.6, 
-0.0155,14.6,-4.4,-11.8, 
-0.0154,14.4,-4.4,-11.8, 
-0.0153,13.8,-2.8,-12.4, 
-0.0152,13.6,-2.6,-12.4, 
-0.0151,13,-1.2,-13, 
-0.015,13,-0.8,-13.2, 
-0.0149,12.4,0.6,-13.6, 
-0.0148,12.2,0.6,-13.8, 
-0.0147,12,1.8,-14, 
-0.0146,12,2,-14.2, 
-0.0145,11.4,3.4,-14.8, 
-0.0144,11.2,3.6,-15.2, 
-0.0143,10.6,4.8,-15.8, 
-0.0142,10.8,5,-16, 
-0.0141,10.6,5.8,-16.4, 
-0.014,10.2,6.2,-16.4, 
-0.0139,10,7,-16.8, 
-0.0138,10,7.4,-17, 
-0.0137,9.8,8,-17.4, 
-0.0136,9.6,8,-17.4, 
-0.0135,9.8,8.4,-18.2, 
-0.0134,9.6,8.8,-18, 
-0.0133,9.4,8.6,-18.2, 
-0.0132,9.4,8.8,-18.2, 
-0.0131,9.2,9,-18.2, 
-0.013,9,9.2,-18.2, 
-0.0129,9.4,8.8,-17.8, 
-0.0128,8.6,9.2,-17.6, 
-0.0127,8.2,8.8,-17.2, 
