Second,CH1,CH2,CH3,
0.0224,0,-8,0, 
0.0228,0,0,0, 
0.0232,0,-8,0, 
0.0236,0,-8,0, 
0.024,0,-8,0, 
0.0244,8,-8,0, 
0.0248,0,0,0, 
0.0252,8,-8,0, 
0.0256,0,-8,0, 
0.026,8,-8,0, 
0.0264,0,-8,0, 
0.0268,0,-8,0, 
0.0272,0,-8,0, 
0.0276,0,-8,0, 
0.028,0,-8,0, 
0.0284,0,0,8, 
0.0288,0,-8,0, 
0.0292,0,-8,0, 
0.0296,0,0,0, 
0.03,0,-8,-8, 
0.0304,0,-8,0, 
0.0308,8,-8,0, 
0.0312,0,-8,0, 
0.0316,0,0,0, 
0.032,0,-8,0, 
0.0324,0,-8,8, 
0.0328,0,-8,0, 
0.0332,8,-8,-8, 
0.0336,8,-8,0, 
0.034,0,-8,0, 
0.0344,8,-8,0, 
0.0348,0,-8,0, 
0.0352,8,-8,-8, 
0.0356,0,-8,0, 
0.036,8,0,0, 
0.0364,0,-8,-8, 
0.0368,0,-8,-8, 
0.0372,8,0,-8, 
0.0376,8,0,-8, 
0.038,8,0,-16, 
0.0384,8,8,-16, 
0.0388,16,16,-24, 
0.0392,16,16,-24, 
0.0396,8,24,-32, 
0.04,16,24,-32, 
0.0404,0,40,-40, 
0.0408,0,48,-40, 
0.0412,-16,72,-56, 
0.0416,-24,80,-64, 
0.042,-48,112,-72, 
0.0424,-48,112,-72, 
0.0428,-64,136,-72, 
0.0432,-72,136,-64, 
0.0436,-96,144,-48, 
0.044,-112,152,-40, 
0.0444,-144,168,-16, 
0.0448,-160,168,-16, 
0.0452,-168,168,24, 
0.0456,-168,152,32, 
0.046,-176,120,56, 
0.0464,-160,112,64, 
0.0468,-144,88,72, 
0.0472,-136,80,72, 
0.0476,-112,56,64, 
0.048,-104,56,56, 
0.0484,-64,24,48, 
0.0488,-56,24,40, 
0.0492,-24,8,24, 
0.0496,-24,0,24, 
0.05,0,-8,16, 
0.0504,0,-8,16, 
0.0508,0,-8,8, 
0.0512,0,-8,8, 
0.0516,8,-8,0, 
0.052,8,-8,0, 
0.0524,16,-8,0, 
0.0528,8,-8,0, 
0.0532,16,-8,-8, 
0.0536,8,-8,0, 
0.054,16,-8,0, 
0.0544,16,-8,0, 
0.0548,16,-8,-8, 
0.0552,16,-8,0, 
0.0556,8,-8,-8, 
0.056,16,-8,0, 
0.0564,16,-8,-8, 
0.0568,16,-8,-8, 
0.0572,8,0,-8, 
0.0576,16,0,-16, 
0.058,24,-8,-16, 
