Second,CH1,CH2,CH3,
0.0304,0,-8,0, 
0.0308,0,-8,0, 
0.0312,8,-8,0, 
0.0316,0,-8,-8, 
0.032,0,-8,0, 
0.0324,0,-8,0, 
0.0328,8,-8,0, 
0.0332,0,0,-8, 
0.0336,0,-8,0, 
0.034,0,-8,-8, 
0.0344,0,-8,-8, 
0.0348,0,-8,0, 
0.0352,0,-8,0, 
0.0356,0,-8,0, 
0.036,0,-8,0, 
0.0364,0,-8,0, 
0.0368,0,-8,0, 
0.0372,0,-8,0, 
0.0376,0,-8,0, 
0.038,0,-8,-8, 
0.0384,0,-8,0, 
0.0388,0,-8,-8, 
0.0392,0,-8,0, 
0.0396,0,-8,0, 
0.04,0,-8,0, 
0.0404,0,-8,8, 
0.0408,0,-8,8, 
0.0412,8,-8,8, 
0.0416,0,-16,8, 
0.042,16,-32,16, 
0.0424,16,-48,24, 
0.0428,40,-104,56, 
0.0432,56,-120,72, 
0.0436,88,-192,104, 
0.044,88,-216,120, 
0.0444,136,-280,152, 
0.0448,152,-304,152, 
0.0452,272,-392,128, 
0.0456,312,-424,112, 
0.046,432,-520,80, 
0.0464,472,-544,72, 
0.0468,560,-608,40, 
0.0472,576,-616,24, 
0.0476,632,-640,-8, 
0.048,632,-648,-16, 
0.0484,640,-624,-48, 
0.0488,632,-608,-56, 
0.0492,592,-552,-88, 
0.0496,576,-528,-96, 
0.05,512,-432,-128, 
0.0504,488,-408,-128, 
0.0508,400,-288,-152, 
0.0512,376,-256,-152, 
0.0516,288,-160,-160, 
0.052,272,-144,-144, 
0.0524,200,-88,-120, 
0.0528,184,-80,-104, 
0.0532,120,-40,-72, 
0.0536,96,-32,-72, 
0.054,40,-8,-40, 
0.0544,32,0,-32, 
0.0548,0,8,-16, 
0.0552,0,8,-16, 
0.0556,-8,0,-8, 
0.056,-8,8,-8, 
0.0564,-16,8,-8, 
0.0568,-16,0,0, 
0.0572,-16,8,-8, 
0.0576,-16,0,0, 
0.058,-16,0,0, 
0.0584,-16,0,0, 
0.0588,-16,8,0, 
0.0592,-16,8,0, 
0.0596,-8,0,8, 
0.06,-8,8,0, 
0.0604,-8,8,0, 
0.0608,-8,0,0, 
0.0612,-16,0,8, 
0.0616,-8,0,8, 
0.062,-16,-8,16, 
0.0624,-16,-8,16, 
0.0628,-8,-16,24, 
0.0632,-8,-24,24, 
0.0636,0,-48,48, 
0.064,8,-64,48, 
0.0644,32,-112,72, 
0.0648,40,-120,80, 
0.0652,64,-160,96, 
0.0656,72,-176,96, 
0.066,112,-208,96, 
0.0664,120,-216,88, 
0.0668,200,-264,64, 
0.0672,232,-288,48, 
0.0676,296,-320,16, 
0.068,312,-328,16, 
0.0684,320,-344,-16, 
0.0688,320,-328,-32, 
0.0692,304,-288,-64, 
0.0696,296,-272,-72, 
0.07,256,-208,-96, 
0.0704,232,-184,-96, 
0.0708,184,-128,-112, 
0.0712,176,-112,-112, 
0.0716,136,-80,-96, 
0.072,120,-64,-88, 
0.0724,80,-32,-64, 
0.0728,64,-24,-56, 
0.0732,32,-8,-40, 
0.0736,16,8,-32, 
0.074,0,16,-24, 
0.0744,-8,24,-16, 
0.0748,-24,16,-16, 
0.0752,-24,24,-16, 
0.0756,-24,16,-8, 
0.076,-24,16,-8, 
0.0764,-24,16,0, 
0.0768,-24,16,0, 
0.0772,-24,16,0, 
0.0776,-24,16,-8, 
0.078,-24,16,0, 
0.0784,-24,16,0, 
0.0788,-24,16,0, 
0.0792,-24,16,0, 
0.0796,-24,16,0, 
0.08,-24,8,0, 
0.0804,-24,16,8, 
0.0808,-24,16,0, 
0.0812,-24,8,8, 
0.0816,-24,8,16, 
0.082,-24,8,8, 
0.0824,-24,0,16, 
0.0828,-24,-8,24, 
0.0832,-24,-8,24, 
0.0836,-24,-16,32, 
0.084,-16,-24,32, 
0.0844,-8,-48,48, 
0.0848,0,-64,48, 
0.0852,24,-88,64, 
0.0856,32,-88,64, 
0.086,48,-112,72, 
0.0864,56,-120,72, 
0.0868,80,-120,64, 
0.0872,88,-136,48, 
0.0876,136,-160,32, 
0.088,144,-176,16, 
0.0884,176,-184,-16, 
0.0888,176,-176,-16, 
0.0892,176,-160,-40, 
0.0896,168,-152,-56, 
0.09,136,-112,-72, 
